2462.15,2017,2242,2399,2644.5,3000,8.82705,90,-14,100
247.55,216,226.5,235.5,269.5,311,0.94705,100,-15.1,100
540.25,451,497.5,525,579,687,2.0182,100,-14.4,100
527.8,396,455,539,602,660,1.9194,100,-14.2,100
2458.35,1996,2236.5,2396,2642,3000,9.47235,90,-14,100
238.1,192,214.5,239.5,258,296,0.93795,100,-15.2,100
557.35,450,524.5,545,588,752,2.20445,100,-14.5,100
564.75,430,505,572,599,766,2.1251,100,-14.3,100
2482.75,2036,2274,2417,2667.5,3000,9.0842,90,-13.9,100
242.8,201,224,244.5,254.5,284,0.91525,100,-15.1,100
1131.45,913,1017.5,1097,1182,1647,4.0791,100,-14.5,100
1162.3,920,1030,1112,1224,1684,4.24885,100,-14.3,100
2479.8,2029,2270,2414.5,2664,3000,9.0023,90,-13.9,100
233.5,196,207,223.5,251.5,306,0.85245,100,-15.1,100
1139.3,904,1024.5,1130.5,1218.5,1641,4.31415,100,-14.4,100
1168.3,936,1037,1138,1233,1706,4.15965,100,-14.4,100
